,,,,,,,,,,,,,,," 863,555,008.10 ",,,,,,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_Ironman EP.1,IRONMAN Project_EP.1,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Jan-24,SHARE,D1204,2024," 1,500,000.00 ",2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD05,Rofin (laser welding machine) -Sampleline,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Jul-24,SHARE,D1204,2024,4000000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD06,Software Casting Simulation,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Apr-24,SHARE,D1204,2024,275708,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD07,Software Cinema 4D for Rendering - 2x perpetual license,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Jul-24,SHARE,D1204,2024,592760,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD08,Software Rhino (Upgrade),,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Apr-24,SHARE,D1204,2024,380000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Jul-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD09,Software Solidworks Engineering package - 1y subscription,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Apr-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,May-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Jun-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Jul-24,SHARE,D1204,2024,1049664,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Aug-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Sep-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Oct-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Nov-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD10,Software Z-Brush (Upgrade) - perpetual license (all CAD team),,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Feb-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Mar-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Apr-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,May-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Jun-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Jul-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Aug-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Sep-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Oct-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Nov-24,SHARE,D1204,2024,100000,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD11,Spare part 3D printing,,,,Dec-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD12,YASUI (Compression moulding) x10- Sampleline,,,,Jan-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD12,YASUI (Compression moulding) x10- Sampleline,,,,Feb-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
D1204,Product Prototyping & Samples Development,,SHARE,,,Dummy_I&PD12,YASUI (Compression moulding) x10- Sampleline,,,,Mar-24,SHARE,D1204,2024,0,2024,PPT1,Dumm,BG2024,On Planned,,
